Name,Party,Image
"ABALOS, BENHUR (PFP)",PFP,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Benjamin_Abalos_Jr._2019_%28cropped%29.jpg/120px-Benjamin_Abalos_Jr._2019_%28cropped%29.jpg
"ADONIS, JEROME (MKBYN)",MKBYN,https://en.wikipedia.org/wiki/File:Jerome_Adonis_at_the_Makabayan_2025_Senatorial_Slate_Announcement.jpg
"AMAD, WILSON (IND)",IND,
"ANDAMO, NARS ALYN (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Jocelyn_Andamo_at_the_Makabayan_2025_Senatorial_Slate_Announcement.jpg/120px-Jocelyn_Andamo_at_the_Makabayan_2025_Senatorial_Slate_Announcement.jpg
"AQUINO, BAM (KNP)",KNP,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Bicam_Final_Reading_Balik_Scientist_Act_cropped.png/120px-Bicam_Final_Reading_Balik_Scientist_Act_cropped.png
"ARAMBULO, RONNEL (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Ronnel_Arambulo_Makabayan_Coalition_Convention_2024_4.jpg/120px-Ronnel_Arambulo_Makabayan_Coalition_Convention_2024_4.jpg
"ARELLANO, ERNESTO (KTPNAN)",KTPNAN,
"BALLON, ROBERTO (IND)",IND,
"BINAY, ABBY (NPC)",NPC,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Mayor_of_Makati_Mar-len_Abigail_%22Abby%22_Sombillo_Binay-Campos.png/120px-Mayor_of_Makati_Mar-len_Abigail_%22Abby%22_Sombillo_Binay-Campos.png
"BONDOC, JIMMY (PDPLBN)",PDPLBN,
"BONG REVILLA,RAMON, JR.(LAKAS)",LAKAS,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Ramon_Bong_Revilla.JPG/120px-Ramon_Bong_Revilla.JPG
"BOSITA, COLONEL (IND)",IND,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Rep._Bonifacio_Bosita_%2819th_Congress%29.jpg/120px-Rep._Bonifacio_Bosita_%2819th_Congress%29.jpg
"BROSAS, ARLENE (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Rep._Arlene_Brosas_%2819th_Congress%29.jpg/120px-Rep._Arlene_Brosas_%2819th_Congress%29.jpg
"CABONEGRO, ROY (DPP)",DPP,
"CAPUYAN, ALLEN (PPP)",PPP,
"CASIÑO, TEDDY (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Teddy_Casi%C3%B1o_at_the_Makabayan_2025_Senatorial_Slate_Announcement.jpg/120px-Teddy_Casi%C3%B1o_at_the_Makabayan_2025_Senatorial_Slate_Announcement.jpg
"CASTRO, TEACHER FRANCE (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Rep._France_Castro_%2819th_Congress%29.jpg/120px-Rep._France_Castro_%2819th_Congress%29.jpg
"CAYETANO, PIA (NP)",NP,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Pia_Cayetano_%282018%29.jpg/120px-Pia_Cayetano_%282018%29.jpg
"D'ANGELO, DAVID (BUNYOG)",BUNYOG,
"DE ALBAN,ATTORNEY ANGELO (IND)",IND,
"DE GUZMAN, KA LEODY (PLM)",PLM,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/PiliPinas_Debates_2022_-_1st_Presidential_Debates_-_Leody_de_Guzman_%28cropped%29.jpg/100px-PiliPinas_Debates_2022_-_1st_Presidential_Debates_-_Leody_de_Guzman_%28cropped%29.jpg
"DELA ROSA, BATO (PDPLBN)",PDPLBN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Ronald_dela_Rosa_073116_%28cropped%29.jpg/120px-Ronald_dela_Rosa_073116_%28cropped%29.jpg
"DORINGO, NANAY MIMI (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Mimi_Doringo_Makabayan_Coalition_Convention_2024.jpg/120px-Mimi_Doringo_Makabayan_Coalition_Convention_2024.jpg
"ESCOBAL, ARNEL (PM)",PM,
"ESPIRITU, LUKE (PLM)",PLM,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Luke_Espiritu_headshot.png/120px-Luke_Espiritu_headshot.png
"FLORANDA, MODY PISTON (MKBYN)",MKBYN,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Mody_Floranda_at_the_Makabayan_2025_Senatorial_Slate_Announcement_2_%28cropped%29.jpg/120px-Mody_Floranda_at_the_Makabayan_2025_Senatorial_Slate_Announcement_2_%28cropped%29.jpg
"GAMBOA, MARC LOUIE (IND)",IND,
"GO, BONG GO    (PDPLBN)",PDPLBN,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Senator_Bong_Go_portrait_%28cropped%29.jpg/120px-Senator_Bong_Go_portrait_%28cropped%29.jpg
"GONZALES, NORBERTO (PDSP)",PDSP,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Norberto_Gonzales.jpg/120px-Norberto_Gonzales.jpg
"HINLO, JAYVEE (PDPLBN)",PDPLBN,
