region,province,municipality,registeredVoters,actualVoters,overVotes,underVotes
BARMM,BASILAN,AKBAR,7516,7128,792,7818
BARMM,BASILAN,AL-BARKA,5016,4183,444,31873
BARMM,BASILAN,CITY OF ISABELA,83477,54488,24012,232270
BARMM,BASILAN,CITY OF LAMITAN,50935,42760,13224,218215
BARMM,BASILAN,HADJI MOHAMMAD AJUL,19547,17083,288,160508
BARMM,BASILAN,LANTAWAN,20224,17277,3324,135552
BARMM,BASILAN,MALUSO,29575,23266,3372,191603
BARMM,BASILAN,SUMISIP,25002,21312,4248,145279
BARMM,BASILAN,TABUAN-LASA,16016,14416,960,97286
BARMM,BASILAN,TIPO-TIPO,10603,9455,372,60069
BARMM,BASILAN,TUBURAN,7512,6737,204,54797
BARMM,BASILAN,UNGKAYA PUKAN,11760,9574,804,64296
BARMM,LANAO DEL SUR,AMAI MANABILANG,5825,5610,2616,10233
BARMM,LANAO DEL SUR,BACOLOD-KALAWI,10713,8574,1308,62981
BARMM,LANAO DEL SUR,BALABAGAN,18459,18057,2916,23037
BARMM,LANAO DEL SUR,BALINDONG,18978,15542,3312,73649
BARMM,LANAO DEL SUR,BINIDAYAN,11170,8188,1464,51728
BARMM,LANAO DEL SUR,BUADIPOSO-BUNTONG,12178,9605,1008,79413
BARMM,LANAO DEL SUR,BUBONG,401,353,96,1140
BARMM,LANAO DEL SUR,BUTIG,2929,2026,204,15994
BARMM,LANAO DEL SUR,CALANOGAS,6991,6020,552,33926
BARMM,LANAO DEL SUR,CITY OF MARAWI,61239,50645,9852,304778
BARMM,LANAO DEL SUR,DITSAAN-RAMAIN,3865,3207,408,18471
BARMM,LANAO DEL SUR,GANASSI,789,588,24,3163
BARMM,LANAO DEL SUR,KAPAI,14161,13776,2124,34414
BARMM,LANAO DEL SUR,KAPATAGAN,12226,12055,3480,27466
BARMM,LANAO DEL SUR,LUMBA-BAYABAO,18038,15382,1548,127380
