region,Candidate,Votes
BARMM,"ABALOS, BENHUR (PFP)",155537
BARMM,"ADONIS, JEROME (MKBYN)",15400
BARMM,"AMAD, WILSON (IND)",19796
BARMM,"ANDAMO, NARS ALYN (MKBYN)",13452
BARMM,"AQUINO, BAM (KNP)",214208
BARMM,"ARAMBULO, RONNEL (MKBYN)",22434
BARMM,"ARELLANO, ERNESTO (KTPNAN)",14232
BARMM,"BALLON, ROBERTO (IND)",23817
BARMM,"BINAY, ABBY (NPC)",217924
BARMM,"BONDOC, JIMMY (PDPLBN)",525330
BARMM,"BONG REVILLA,RAMON, JR.(LAKAS)",196605
BARMM,"BOSITA, COLONEL (IND)",69529
BARMM,"BROSAS, ARLENE (MKBYN)",18682
BARMM,"CABONEGRO, ROY (DPP)",12657
BARMM,"CAPUYAN, ALLEN (PPP)",23516
BARMM,"CASIÑO, TEDDY (MKBYN)",18249
BARMM,"CASTRO, TEACHER FRANCE (MKBYN)",18830
BARMM,"CAYETANO, PIA (NP)",186325
BARMM,"D'ANGELO, DAVID (BUNYOG)",10839
BARMM,"DE ALBAN,ATTORNEY ANGELO (IND)",26015
BARMM,"DE GUZMAN, KA LEODY (PLM)",27851
BARMM,"DELA ROSA, BATO (PDPLBN)",865433
BARMM,"DORINGO, NANAY MIMI (MKBYN)",17419
BARMM,"ESCOBAL, ARNEL (PM)",19629
BARMM,"ESPIRITU, LUKE (PLM)",36272
BARMM,"FLORANDA, MODY PISTON (MKBYN)",14356
BARMM,"GAMBOA, MARC LOUIE (IND)",14530
BARMM,"GO, BONG GO    (PDPLBN)",970138
BARMM,"GONZALES, NORBERTO (PDSP)",22777
BARMM,"HINLO, JAYVEE (PDPLBN)",366201
BARMM,"HONASAN, GRINGO (RP)",120583
BARMM,"JOSE, RELLY JR. (KBL)",14488
BARMM,"LACSON, PING (IND)",141436
BARMM,"LAMBINO,  RAUL  (PDPLBN)",436210
BARMM,"LAPID, LITO (NPC)",232666
BARMM,"LEE, MANOY WILBERT (AKSYON)",13164
BARMM,"LIDASAN, AMIRAH (MKBYN)",45044
BARMM,"MARCOLETA, RODANTE (IND)",529953
BARMM,"MARCOS, IMEE R. (NP)",322142
BARMM,"MARQUEZ, NORMAN (IND)",20962
BARMM,"MARTINEZ, ERIC (IND)",23682
BARMM,"MATA, DOC MARITES (IND)",236964
BARMM,"MATULA,  ATTY.  SONNY (WPP)",26597
BARMM,"MAZA, LIZA (MKBYN)",22610
BARMM,"MENDOZA, HEIDI (IND)",51302
BARMM,"MONTEMAYOR,  JOEY  (IND)",13844
BARMM,"MUSTAPHA, SUBAIR (WPP)",81960
BARMM,"OLIVAR, JOSE JESSIE (IND)",14433
BARMM,"ONG, DOC WILLIE (AKSYON)",75352
BARMM,"PACQUIAO, MANNY PACMAN (PFP)",138150
BARMM,"PANGILINAN, KIKO (LP)",188699
BARMM,"QUERUBIN,  ARIEL PORFIRIO (NP)",68803
BARMM,"QUIBOLOY, APOLLO (IND)",282536
BARMM,"RAMOS, DANILO (MKBYN)",30494
BARMM,"REVILLAME, WILLIE WIL (IND)",143998
BARMM,"RODRIGUEZ, ATTY. VIC (IND)",382524
BARMM,"SAHIDULLA, NUR-ANA (IND)",45144
BARMM,"SALVADOR, PHILLIP IPE (PDPLBN)",517686
BARMM,"SOTTO, TITO (NPC)",145699
BARMM,"TAPADO, MICHAEL BONGBONG (PM)",14182
BARMM,"TOLENTINO, FRANCIS TOL (PFP)",108515
BARMM,"TULFO, BEN BITAG (IND)",140559
BARMM,"TULFO, ERWIN (LAKAS)",203668
BARMM,"VALBUENA, MAR MANIBELA (IND)",10933
BARMM,"VERCELES, LEANDRO (IND)",7120
BARMM,"VILLAR, CAMILLE (NP)",310098
CORDILLERA ADMINISTRATIVE REGION,"ABALOS, BENHUR (PFP)",258969
CORDILLERA ADMINISTRATIVE REGION,"ADONIS, JEROME (MKBYN)",12013
CORDILLERA ADMINISTRATIVE REGION,"AMAD, WILSON (IND)",10336
CORDILLERA ADMINISTRATIVE REGION,"ANDAMO, NARS ALYN (MKBYN)",13411
CORDILLERA ADMINISTRATIVE REGION,"AQUINO, BAM (KNP)",245659
CORDILLERA ADMINISTRATIVE REGION,"ARAMBULO, RONNEL (MKBYN)",35561
CORDILLERA ADMINISTRATIVE REGION,"ARELLANO, ERNESTO (KTPNAN)",15511
CORDILLERA ADMINISTRATIVE REGION,"BALLON, ROBERTO (IND)",26703
CORDILLERA ADMINISTRATIVE REGION,"BINAY, ABBY (NPC)",248375
CORDILLERA ADMINISTRATIVE REGION,"BONDOC, JIMMY (PDPLBN)",77515
CORDILLERA ADMINISTRATIVE REGION,"BONG REVILLA,RAMON, JR.(LAKAS)",238925
CORDILLERA ADMINISTRATIVE REGION,"BOSITA, COLONEL (IND)",146020
CORDILLERA ADMINISTRATIVE REGION,"BROSAS, ARLENE (MKBYN)",44425
CORDILLERA ADMINISTRATIVE REGION,"CABONEGRO, ROY (DPP)",5795
