Year,Month,DayOfWeek,Company,Payment Type,No. of Trips
2019,April,Friday,1085 - 72312 N and W Cab Co,Cash,70
2019,April,Friday,1085 - 72312 N and W Cab Co,Credit Card,16
2019,April,Friday,1085 - 72312 N and W Cab Co,No Charge,1
2019,April,Friday,1469 - 64126 Omar Jada,Cash,15
2019,April,Friday,1469 - 64126 Omar Jada,Credit Card,33
2019,April,Friday,2092 - 61288 Sbeih company,Cash,38
2019,April,Friday,2092 - 61288 Sbeih company,Credit Card,2
2019,April,Friday,24 Seven Taxi,Cash,1059
2019,April,Friday,24 Seven Taxi,Credit Card,1244
2019,April,Friday,24 Seven Taxi,Mobile,48
2019,April,Friday,24 Seven Taxi,Prcard,3
2019,April,Friday,2733 - 74600 Benny Jona,Cash,15
2019,April,Friday,2733 - 74600 Benny Jona,Credit Card,23
2019,April,Friday,3011 - 66308 JBL Cab Inc.,Cash,29
2019,April,Friday,3011 - 66308 JBL Cab Inc.,Credit Card,43
2019,April,Friday,3094 - 24059 G.L.B. Cab Co,Cash,28
2019,April,Friday,3094 - 24059 G.L.B. Cab Co,Credit Card,21
2019,April,Friday,312 Medallion Management Corp,Cash,58
2019,April,Friday,312 Medallion Management Corp,Credit Card,62
2019,April,Friday,312 Medallion Management Corp,Dispute,3
2019,April,Friday,312 Medallion Management Corp,No Charge,2
2019,April,Friday,312 Medallion Management Corp,Unknown,1
2019,April,Friday,3620 - 52292 David K. Cab Corp.,Cash,22
2019,April,Friday,3620 - 52292 David K. Cab Corp.,Credit Card,20
2019,April,Friday,3623 - 72222 Arrington Enterprises,Cash,4
2019,April,Friday,3623 - 72222 Arrington Enterprises,Credit Card,11
2019,April,Friday,"3721 - Santamaria Express, Alvaro Santamaria",Credit Card,6
2019,April,Friday,4053 - 40193 Adwar H. Nikola,Cash,2
2019,April,Friday,4053 - 40193 Adwar H. Nikola,Credit Card,6
2019,April,Friday,4623 - 27290 Jay Kim,Cash,50
2019,April,Friday,4623 - 27290 Jay Kim,Credit Card,16
2019,April,Friday,4787 - 56058 Reny Cab Co,Cash,26
2019,April,Friday,4787 - 56058 Reny Cab Co,Credit Card,17
2019,April,Friday,5 Star Taxi,Cash,220
2019,April,Friday,5 Star Taxi,Credit Card,222
2019,April,Friday,5 Star Taxi,Mobile,9
2019,April,Friday,5 Star Taxi,Prcard,6
2019,April,Friday,5006 - 39261 Salifu Bawa,Cash,32
2019,April,Friday,5006 - 39261 Salifu Bawa,Credit Card,32
2019,April,Friday,5062 - 34841 Sam Mestas,Cash,8
2019,April,Friday,5062 - 34841 Sam Mestas,Credit Card,17
2019,April,Friday,5074 - 54002 Ahzmi Inc,Cash,7
2019,April,Friday,5074 - 54002 Ahzmi Inc,Credit Card,5
2019,April,Friday,5874 - 73628 Sergey Cab Corp.,Cash,13
2019,April,Friday,5874 - 73628 Sergey Cab Corp.,Credit Card,17
2019,April,Friday,6574 - Babylon Express Inc.,Cash,18
2019,April,Friday,6574 - Babylon Express Inc.,Credit Card,26
2019,April,Friday,6742 - 83735 Tasha ride inc,Cash,25
2019,April,Friday,6742 - 83735 Tasha ride inc,Credit Card,21
2019,April,Friday,6743 - 78771 Luhak Corp,Cash,48
